Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Exam_Score
23,84,7,73,67
19,64,8,59,61
24,98,7,91,74
29,89,8,98,71
19,92,6,65,70
19,88,8,89,71
29,84,7,68,67
25,78,6,50,66
17,94,6,80,69
23,98,8,71,72
17,80,8,88,68
17,97,6,87,71
21,83,8,97,70
9,82,8,72,66
10,78,8,74,65
17,68,8,70,64
14,60,10,65,60
22,70,6,82,65
15,80,9,91,67
12,75,7,58,66
29,78,5,99,69
19,99,6,84,72
20,74,8,89,66
11,78,8,100,66
17,65,5,75,63
21,62,6,54,64
13,91,6,90,65
22,83,6,94,71
16,90,4,58,66
18,66,4,51,64
16,83,6,57,63
31,70,7,66,69
20,69,8,96,67
14,60,5,50,61
25,65,5,90,68
13,72,6,93,61
21,65,7,91,64
8,99,9,54,67
12,72,8,84,63
21,65,6,98,64
24,68,8,56,67
21,84,6,52,65
19,63,7,94,64
18,94,7,82,70
11,98,9,82,68
16,70,8,98,65
17,78,6,88,68
26,61,6,70,64
22,86,7,72,68
9,77,5,57,63
22,71,7,65,64
18,68,7,72,64
16,86,8,63,67
24,77,8,96,67
26,67,7,51,66
26,88,5,79,72
15,83,5,89,65
18,94,6,87,71
22,65,8,82,66
26,91,8,71,68
17,87,7,96,70
19,65,10,66,62
13,88,9,88,68
13,78,9,96,67
25,98,8,56,71
28,66,8,97,68
20,86,8,89,69
26,75,4,81,70
22,98,5,69,69
16,73,7,95,65
22,98,7,52,70
29,96,7,72,71
20,71,7,88,65
29,92,4,91,72
4,100,8,60,69
25,70,7,52,66
21,77,7,90,68
18,81,8,71,65
21,72,5,57,64
8,61,7,54,60
19,69,7,82,65
22,71,6,79,66
29,78,4,93,74
17,67,5,52,62
15,95,7,93,70
17,88,7,94,69
25,63,7,72,67
22,86,6,54,64
17,86,5,97,71
23,98,7,54,68
21,60,7,80,64
26,70,8,75,63
16,97,6,92,71
18,97,4,75,69
18,89,4,73,100
11,91,6,94,68
22,64,7,98,62
22,81,7,77,68
20,69,6,73,66
19,67,5,92,64
12,92,4,92,67
17,65,8,66,65
18,79,7,79,65
15,98,6,58,69
19,67,5,82,63
22,99,6,92,72
31,100,7,59,76
21,82,7,66,69
22,67,7,72,67
20,73,9,92,69
